date,open,high,low,close

26/10/2018,6395.58,6450,6383.54,6404.87

27/10/2018,6404.87,6421.76,6390,6409.12

28/10/2018,6409.11,6415,6380.01,6403.62

29/10/2018,6403.63,6414.99,6211,6266

30/10/2018,6266,6289,6240.54,6267.63

31/10/2018,6267.63,6353.24,6201.67,6304.18

01/11/2018,6304.18,6360,6293.44,6344

02/11/2018,6344,6378.77,6333.94,6349.8

03/11/2018,6349.8,6351.7,6315.91,6331.96

04/11/2018,6331.96,6464.15,6313.17,6423.28

05/11/2018,6423.29,6439.99,6372,6404

06/11/2018,6404,6449.65,6387.82,6448.5

07/11/2018,6448.5,6540,6448.5,6503.12

08/11/2018,6503.12,6511.88,6388,6406.24

09/11/2018,6406.24,6415,6305,6334.89

10/11/2018,6334.89,6374,6327.46,6347.42

11/11/2018,6347.42,6360,6271.15,6357.6

12/11/2018,6357.6,6383.59,6305.95,6327.87

13/11/2018,6327.87,6328.22,6252.5,6259.34

14/11/2018,6259.35,6293.38,5280.93,5605.46

15/11/2018,5605.01,5645,5188,5579.52

16/11/2018,5579.5,5609.91,5410,5512.24

17/11/2018,5512.26,5544,5450.83,5504.17

18/11/2018,5503.34,5665,5503.34,5560

19/11/2018,5560,5560,4670.05,4733.5

20/11/2018,4736.67,4889,4035,4349.23

21/11/2018,4349.24,4627.55,4239.01,4545.11

22/11/2018,4545.12,4589,4238.69,4265.36

23/11/2018,4268.18,4366.05,4085.73,4283.8

24/11/2018,4283.8,4370.78,3650.84,3774.99

25/11/2018,3775,4120,3456.78,3936.69

26/11/2018,3936.7,4076.25,3508,3731.32

27/11/2018,3731.01,3830,3562.9,3775

28/11/2018,3775.01,4365,3775,4225.03

29/11/2018,4224.86,4414.89,4077.88,4248

30/11/2018,4247.99,4297.71,3869,3976

01/12/2018,3976.01,4277,3910.08,4142.01

02/12/2018,4142.01,4266,4036,4103.19

03/12/2018,4102.8,4119.98,3741.95,3833.47

04/12/2018,3833.47,4035.1,3732.43,3901.84

05/12/2018,3901.84,3912.53,3660,3694.39

06/12/2018,3694.39,3849,3400,3433.26

07/12/2018,3433.3,3550,3212,3380.01

08/12/2018,3380,3495,3253.66,3401

09/12/2018,3401,3642.51,3367.79,3531.18

10/12/2018,3531.18,3590.71,3354.97,3410.15

11/12/2018,3410.15,3424.92,3293.49,3349.36

12/12/2018,3350.27,3486.16,3325.58,3430.24

13/12/2018,3430.24,3439.63,3227.96,3265

14/12/2018,3265,3294.9,3135,3195.71

15/12/2018,3195.71,3228.69,3128.89,3183

16/12/2018,3183.01,3258,3181.24,3195

17/12/2018,3194.99,3585.95,3184.28,3496.82

18/12/2018,3497.1,3688,3436.5,3667.77

19/12/2018,3667.76,3928.15,3637.17,3682.51

20/12/2018,3682.51,4175,3661.5,4075.34

21/12/2018,4075.33,4162.27,3775,3839.06

22/12/2018,3839.26,4005,3790.16,3980.46

23/12/2018,3981.24,4050,3903.6,3944.93

24/12/2018,3944.92,4239.37,3944.92,4034

25/12/2018,4034,4045.41,3675.86,3780

26/12/2018,3780,3849.2,3685.02,3809.88

27/12/2018,3809.88,3841.21,3567,3589.89

28/12/2018,3589.89,3971.58,3576.12,3888.06

29/12/2018,3887.58,3944.33,3706,3729.31

30/12/2018,3729.31,3863.06,3691.01,3829

31/12/2018,3829,3835.4,3625,3691.86

01/01/2019,3691.87,3841.17,3651.02,3826.1

02/01/2019,3826.1,3916.57,3770.07,3890.79

03/01/2019,3890.8,3893.8,3758.07,3787.57

04/01/2019,3787.57,3849,3730,3820.82

05/01/2019,3820.82,3874.12,3775,3798.62

06/01/2019,3799.99,4088,3756.01,4040.99

07/01/2019,4040.98,4070,3968.79,4006.01

08/01/2019,4005.97,4114.8,3943.36,3993.86

09/01/2019,3993.85,4042.2,3962.12,4004.12

10/01/2019,4004.13,4035.21,3560,3626.12

11/01/2019,3626.12,3699.99,3576,3635.69

12/01/2019,3634.73,3649.18,3557.29,3619.41

13/01/2019,3619.38,3641.86,3481.54,3514.24

14/01/2019,3514.24,3711.11,3509.24,3664.19

15/01/2019,3664.18,3684.38,3538.63,3580.76

16/01/2019,3580.19,3666.73,3572.52,3609.71

17/01/2019,3609.71,3657,3541,3640.65

18/01/2019,3640.64,3643.69,3580.16,3607.85

19/01/2019,3607.85,3765.9,3604.9,3682.65

20/01/2019,3683.5,3703.39,3481.01,3536.19

21/01/2019,3537.56,3568.95,3487.37,3531.76

22/01/2019,3531.75,3611.5,3425,3577.03

23/01/2019,3577.04,3614.47,3523.64,3553.01

24/01/2019,3553.01,3595.83,3530.1,3568.97

25/01/2019,3568.97,3578.79,3510.01,3562.17

26/01/2019,3562.17,3657.76,3540,3556.07

27/01/2019,3556.07,3562.9,3470.14,3531.02

28/01/2019,3531.02,3535.92,3374.01,3429.95

29/01/2019,3429.95,3438.4,3337.87,3397.42

30/01/2019,3395.74,3459.41,3372.97,3437.55

31/01/2019,3437.55,3473.4,3396.74,3411.5

01/02/2019,3411.5,3458.26,3369.62,3437.5

02/02/2019,3437.5,3483.25,3414.49,3468.43

03/02/2019,3468.43,3471.76,3386.45,3414.78

04/02/2019,3415.69,3435,3395.1,3409.57

